,Instruction,Output
201,Silent Spring စာအုပ်က ဘယ်လို သက်ရောက်မှုတွေ ဖြစ်စေခဲ့သလဲ။,Silent Spring စာအုပ်သည် ပတ်ဝန်းကျင်ထိန်းသိမ်းရေး လှုပ်ရှားမှုကို စတင်စေခဲ့ပြီး pesticide များနှင့် အခြားဓာတုပစ္စည်းများ အသုံးပြုမှုကို ပြန်လည်သုံးသပ်စေခဲ့ပါသည်။ ၎င်းသည် အမေရိကန်နိုင်ငံတွင် Environmental Protection Agency (EPA) တည်ထောင်ရန် တွန်းအားပေးခဲ့ပြီး DDT ကို ပိတ်ပင်စေခဲ့သည်။
202,Silent Spring ဆိုတဲ့ ခေါင်းစဉ်ရဲ့ အဓိပ္ပာယ်ကို ရှင်းပြပါ။,Silent Spring ခေါင်းစဉ်သည် pesticide များကြောင့် ငှက်များသေဆုံးခြင်းကို ရည်ညွှန်းပါသည်။ စာအုပ်ထဲတွင် Carson က pesticide များကြောင့် နွေဦးရာသီတွင် ငှက်များ မရှိတော့ဘဲ တိတ်ဆိတ်နေသော ကမ္ဘာကို ဖော်ပြထားသည်။
203,Silent Spring စာအုပ်က ဘယ်လို သိပ္ပံနည်းကျ သက်သေအထောက်အထားတွေ တင်ပြခဲ့သလဲ။,Carson သည် pesticide များ၏ ဆိုးကျိုးများကို ပြသရန် သုတေသနလေ့လာမှုများနှင့် ဓာတ်ခွဲခန်း စမ်းသပ်မှုများမှ အချက်အလက်များကို အသုံးပြုခဲ့ပါသည်။ သူမသည် ဇီဝစုပုံမှုနှင့် ရေရှည်ပတ်ဝန်းကျင်ဆိုင်ရာ သက်ရောက်မှုများကို အထူးအလေးပေး ဖော်ပြခဲ့သည်။
204,Silent Spring စာအုပ်ကို ဓာတုပစ္စည်းထုတ်လုပ်သူတွေက ဘယ်လို တုံ့ပြန်ခဲ့ကြသလဲ။,ဓာတုပစ္စည်းထုတ်လုပ်သူများသည် Carson ၏ တွေ့ရှိချက်များကို ပြင်းထန်စွာ ကန့်ကွက်ခဲ့ကြသည်။ သူတို့သည် သူမ၏ သိပ္ပံနည်းကျမှုကို မေးခွန်းထုတ်ခဲ့ပြီး စာအုပ်ကို တိုက်ခိုက်သည့် ကြော်ငြာလှုပ်ရှားမှုများ ပြုလုပ်ခဲ့ကြသည်။
205,Silent Spring စာအုပ်က ဘယ်လို ဥပဒေပြုရေးဆိုင်ရာ အပြောင်းအလဲတွေ ဖြစ်စေခဲ့သလဲ။,Silent Spring စာအုပ်ကြောင့် pesticide အသုံးပြုမှုကို ထိန်းချုပ်သည့် ဥပဒေများ ပေါ်ပေါက်လာစေခဲ့သည်။ ၎င်းသည် Clean Air Act၊ Clean Water Act နှင့် Endangered Species Act ကဲ့သို့သော သဘာဝပတ်ဝန်းကျင် ထိန်းသိမ်းရေး ဥပဒေများ ပေါ်ပေါက်လာရန် လမ်းခင်းပေးခဲ့သည်။
206,Silent Spring စာအုပ်က ခေတ်သစ် သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေး လှုပ်ရှားမှုကို ဘယ်လို လွှမ်းမိုးခဲ့သလဲ။,Silent Spring စာအုပ်သည် ပြည်သူလူထုကို သဘာဝပတ်ဝန်းကျင် ပြဿနာများအကြောင်း ပိုမိုသိရှိလာစေခဲ့ပြီး ပတ်ဝန်းကျင်ထိန်းသိမ်းရေး အဖွဲ့အစည်းများ ပေါ်ပေါက်လာစေခဲ့သည်။ ၎င်းသည် သိပ္ပံနည်းကျ သက်သေအထောက်အထားပေါ် အခြေခံသော ပတ်ဝန်းကျင်ထိန်းသိမ်းရေး မူဝါဒများကို အားပေးခဲ့သည်။
207,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းခြင်း၏ အဓိကရည်ရွယ်ချက်များကို ဖော်ပြပါ။,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းခြင်း၏ အဓိကရည်ရွယ်ချက်များမှာ ဇီဝမျိုးကွဲများကို ကာကွယ်ခြင်း၊ သဘာဝအရင်းအမြစ်များကို ရေရှည်တည်တံ့အောင် စီမံခန့်ခွဲခြင်း နှင့် သဘာဝပတ်ဝန်းကျင်ညစ်ညမ်းမှုကို လျော့ချခြင်းတို့ဖြစ်သည်။
208,သစ်တောပြုန်းတီးမှု လျော့ချရန် နည်းလမ်းများကို စာရင်းပြုစုပါ။,သစ်တောပြုန်းတီးမှုလျော့ချရန် သစ်ပင်စိုက်ပျိုးခြင်း၊ ရေရှည်တည်တံ့သော သစ်ထုတ်လုပ်မှုကို အားပေးခြင်း၊ သစ်တောများကို ဥပဒေဖြင့် ကာကွယ်ခြင်း နှင့် အစားထိုးလောင်စာများ အသုံးပြုခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
209,ရေအရင်းအမြစ်များ ထိန်းသိမ်းရန် နည်းလမ်းများကို ဖော်ပြပါ။,ရေအရင်းအမြစ်များထိန်းသိမ်းရန် ရေသုံးစွဲမှုလျှော့ချခြင်း၊ မိုးရေစုဆောင်းခြင်း၊ ရေပြန်လည်သုံးစွဲခြင်း၊ ရေသန့်စင်စက်ရုံများ တည်ဆောက်ခြင်း နှင့် ရေဝပ်ဒေသများကို ထိန်းသိမ်းခြင်းတို့ကို ပြုလုပ်နိုင်သည်။
210,လေထုညစ်ညမ်းမှု လျော့ချရန် နည်းလမ်းများကို ရှင်းပြပါ။,လေထုညစ်ညမ်းမှုလျော့ချရန် ပြန်လည်ပြည့်ဖြိုးမြဲစွမ်းအင်သုံးစွဲခြင်း၊ စက်ရုံများတွင် ညစ်ညမ်းမှုထိန်းချုပ်ရေးစနစ်များ တပ်ဆင်ခြင်း၊ အများပြည်သူသယ်ယူပို့ဆောင်ရေးစနစ် တိုးမြှင့်ခြင်း နှင့် လျှပ်စစ်ယာဉ်များ အသုံးပြုခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
211,ဇီဝမျိုးကွဲများ ထိန်းသိမ်းရန် နည်းလမ်းများကို စာရင်းပြုစုပါ။,ဇီဝမျိုးစုံမျိုးကွဲများထိန်းသိမ်းရန် သဘာဝထိန်းသိမ်းရေးနယ်မြေများ သတ်မှတ်ခြင်း၊ တောရိုင်းတိရစ္ဆာန်ရောင်းဝယ်ဖော်ကားမှုကို တားဆီးခြင်း၊ ဒေသခံများပါဝင်သော ထိန်းသိမ်းရေးအစီအစဉ်များ ရေးဆွဲခြင်း နှင့် ပညာပေးလုပ်ငန်းများ ဆောင်ရွက်ခြင်းတို့ကို လုပ်ဆောင်နိုင်သည်။
212,စွန့်ပစ်ပစ္စည်းစီမံခန့်ခွဲမှု တိုးတက်စေရန် နည်းလမ်းများကို ဖော်ပြပါ။,စွန့်ပစ်ပစ္စည်းစီမံခန့်ခွဲမှုတိုးတက်စေရန် ပလတ်စတစ်အသုံးပြုမှုလျှော့ချခြင်း၊ ပြန်လည်အသုံးပြုခြင်းနှင့် ပြန်လည်ပြုပြင်ထုတ်လုပ်ခြင်းကို အားပေးခြင်း၊ စွန့်ပစ်ပစ္စည်းခွဲခြားစွန့်ပစ်ခြင်း နှင့် သဘာဝမြေဩဇာပြုလုပ်ခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
213,ရာသီဥတုပြောင်းလဲမှုလျော့ချရန် နည်းလမ်းများကို ရှင်းပြပါ။,ရာသီဥတုပြောင်းလဲမှုလျော့ချရန် ကာဗွန်ထုတ်လွှတ်မှုလျော့ချခြင်း၊ စွမ်းအင်လျှော့ချသုံးစွဲရာတွင်ထိရောက်မှုမြှင့်တင်ခြင်း၊ သစ်တောများထိန်းသိမ်းခြင်း၊ အစိမ်းရောင်နည်းပညာများ အသုံးပြုခြင်း နှင့် ရေရှည်တည်တံ့သောစားသုံးမှုပုံစံများ ကျင့်သုံးခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
214,မြေဆီလွှာထိန်းသိမ်းရန် နည်းလမ်းများကို ဖော်ပြပါ။,မြေဆီလွှာထိန်းသိမ်းရန် သီးနှံအလှည့်ကျစိုက်ပျိုးခြင်း၊ မြေဆီလွှာဖုံးအုပ်ထားခြင်း၊ သဘာဝမြေဩဇာအသုံးပြုခြင်း၊ ထွန်ယက်မှုလျှော့ချခြင်း နှင့် တိုက်စားမှုထိန်းချုပ်ခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
215,ရေနေဂေဟစနစ်များ ထိန်းသိမ်းရန် နည်းလမ်းများကို စာရင်းပြုစုပါ။,ရေနေဂေဟစနစ်များထိန်းသိမ်းရန် ရေညစ်ညမ်းမှုထိန်းချုပ်ခြင်း၊ ရေဝပ်ဒေသများကာကွယ်ခြင်း၊ ရေနေသတ္တဝါများ အလွန်အကျွံဖမ်းဆီးမှုတားဆီးခြင်း၊ ကမ်းရိုးတန်းဒေသများ ထိန်းသိမ်းခြင်း နှင့် ရေအရည်အသွေးစောင့်ကြပ်ကြည့်ရှုခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
216,စွမ်းအင်ထိရောက်မှုမြှင့်တင်ရန် နည်းလမ်းများကို ဖော်ပြပါ။,စွမ်းအင်ထိရောက်မှုမြှင့်တင်ရန် စွမ်းအင်ထိရောက်သောစက်ပစ္စည်းများ အသုံးပြုခြင်း၊ အဆောက်အအုံများကို စွမ်းအင်ထိရောက်စွာ ဒီဇိုင်းရေးဆွဲခြင်း၊ လျှပ်စစ်မီးသုံးစွဲမှု စီမံခန့်ခွဲခြင်း၊ စွမ်းအင်စုဆောင်းသောနည်းပညာများ အသုံးပြုခြင်း နှင့် ပြန်လည်ပြည့်ဖြိုးမြဲစွမ်းအင်သို့ ကူးပြောင်းခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
217,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးတွင် ဒေသခံပြည်သူများ ပါဝင်ဆောင်ရွက်နိုင်မည့် နည်းလမ်းများကို ရှင်းပြပါ။,ဒေသခံပြည်သူများသည် သစ်ပင်စိုက်ပျိုးခြင်း၊ အမှိုက်ကောက်ခြင်း၊ ရေနှင့်လျှပ်စစ်ဓာတ်အား ချွေတာသုံးစွဲခြင်း၊ ပြန်လည်အသုံးပြုခြင်းနှင့် ပြန်လည်ပြုပြင်ထုတ်လုပ်ခြင်းကို လိုက်နာခြင်း၊ သဘာဝထိန်းသိမ်းရေးအဖွဲ့များတွင် စေတနာ့ဝန်ထမ်းအဖြစ် ပါဝင်ဆောင်ရွက်ခြင်းတို့ဖြင့် ပါဝင်နိုင်သည်။
218,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးတွင် အစိုးရ၏ အခန်းကဏ္ဍကို ဖော်ပြပါ။,အစိုးရသည် သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးဥပဒေများ ရေးဆွဲခြင်း၊ သဘာဝထိန်းသိမ်းရေးနယ်မြေများ သတ်မှတ်ခြင်း၊ ညစ်ညမ်းမှုထိန်းချုပ်ရေးစံချိန်စံညွှန်းများ သတ်မှတ်ခြင်း၊ ပတ်ဝန်းကျင်ထိန်းသိမ်းရေးစီမံကိန်းများ အကောင်အထည်ဖော်ခြင်း နှင့် ပညာပေးလုပ်ငန်းများ ဆောင်ရွက်ခြင်းတို့ကို လုပ်ဆောင်နိုင်သည်။
219,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးတွင် ပညာရေး၏ အခန်းကဏ္ဍကို ဖော်ပြပါ။,ပညာရေးသည် ကျောင်းသင်ရိုးညွှန်းတမ်းတွင် သဘာဝပတ်ဝန်းကျင်ဆိုင်ရာ သင်ခန်းစာများ ထည့်သွင်းခြင်း၊ ကျောင်းသားများအား သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးလှုပ်ရှားမှုများတွင် ပါဝင်စေခြင်း နှင့် လူထုအသိပညာပေး အစီအစဉ်များ ဆောင်ရွက်ခြင်းတို့ဖြင့် အရေးပါသောအခန်းကဏ္ဍမှ ပါဝင်နိုင်သည်။
220,ကမ်းရိုးတန်းဒေသများ ထိန်းသိမ်းရန် နည်းလမ်းများကို စာရင်းပြုစုပါ။,ကမ်းရိုးတန်းဒေသများထိန်းသိမ်းရန် ဒီရေတောများ ပြန်လည်စိုက်ပျိုးခြင်း၊ သန္တာကျောက်တန်းများ ကာကွယ်ခြင်း၊ ပင်လယ်ကမ်းခြေသန့်ရှင်းရေး လှုပ်ရှားမှုများ ပြုလုပ်ခြင်း၊ ရေနေသတ္တဝါများ အလွန်အကျွံဖမ်းဆီးမှု ထိန်းချုပ်ခြင်း နှင့် ကမ်းရိုးတန်းဖွံ့ဖြိုးရေးစီမံကိန်းများကို စနစ်တကျ စီမံခန့်ခွဲခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
221,မြို့ပြဒေသများတွင် သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရန် နည်းလမ်းများကို ရှင်းပြပါ။,မြို့ပြဒေသများတွင် သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရန် ပတ်ဝန်းကျင်နှင့် သင့်တော်သောအဆောက်အအုံများ တည်ဆောက်ခြင်း၊ အများပြည်သူသယ်ယူပို့ဆောင်ရေးစနစ် တိုးမြှင့်ခြင်း၊ မြို့တွင်းစိမ်းလန်းစိုပြေရေးအတွက် ပန်းခြံများနှင့် သစ်ပင်များ တိုးချဲ့စိုက်ပျိုးခြင်း၊ စွန့်ပစ်ပစ္စည်းစီမံခန့်ခွဲမှုစနစ် တိုးတက်အောင်လုပ်ဆောင်ခြင်း နှင့် ရေသုံးစွဲမှုထိရောက်စေရန် စီမံခန့်ခွဲခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
222,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးတွင် နည်းပညာ၏ အခန်းကဏ္ဍကို ဖော်ပြပါ။,နည်းပညာသည် ပြန်လည်ပြည့်ဖြိုးမြဲစွမ်းအင်ထုတ်လုပ်ခြင်း၊ ညစ်ညမ်းမှုထိန်းချုပ်ရေးစနစ်များ တီထွင်ခြင်း၊ ရာသီဥတုပြောင်းလဲမှုလျော့ချရေး နည်းပညာများ ဖွံ့ဖြိုးစေခြင်း၊ သဘာဝသယံဇာတများ ထိရောက်စွာအသုံးချနိုင်သည့် နည်းပညာများ တီထွင်ခြင်း နှင့် ပတ်ဝန်းကျင်စောင့်ကြပ်ကြည့်ရှုရေးစနစ်များ တိုးတက်စေခြင်းတို့ဖြင့် အရေးပါသောအခန်းကဏ္ဍမှ ပါဝင်နိုင်သည်။
223,တောရိုင်းတိရစ္ဆာန်များ ထိန်းသိမ်းကာကွယ်ရန် နည်းလမ်းများကို စာရင်းပြုစုပါ။,တောရိုင်းတိရစ္ဆာန်များ ထိန်းသိမ်းကာကွယ်ရန် သဘာဝထိန်းသိမ်းရေးနယ်မြေများ တိုးချဲ့သတ်မှတ်ခြင်း၊ တောရိုင်းတိရစ္ဆာန်ရောင်းဝယ်ဖော်ကားမှုကို တားဆီးခြင်း၊ တိရစ္ဆာန်များ ရွှေ့ပြောင်းသွားလာနိုင်သော ဂေဟစင်္ကြံများ တည်ဆောက်ခြင်း၊ မျိုးသုဥ်းလုနီးပါး တိရစ္ဆာန်များကို မျိုးပွားစေခြင်း နှင့် ဒေသခံများပါဝင်သော ထိန်းသိမ်းရေးအစီအစဉ်များ အကောင်အထည်ဖော်ခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
224,ရေရှည်တည်တံ့သော စိုက်ပျိုးရေးစနစ်များအကြောင်း ရှင်းပြပါ။,ရေရှည်တည်တံ့သော စိုက်ပျိုးရေးစနစ်များတွင် သဘာဝပိုးသတ်ဆေးများ အသုံးပြုခြင်း၊ သီးနှံလှည့်စိုက်ပျိုးခြင်း၊ မြေဆီလွှာထိန်းသိမ်းသည့်နည်းစနစ်များ ကျင့်သုံးခြင်း၊ ရေသုံးစွဲမှုထိရောက်စေသော ရေသွင်းစနစ်များ အသုံးပြုခြင်း နှင့် ဒေသနှင့်ကိုက်ညီသော သီးနှံမျိုးစိတ်များ ရွေးချယ်စိုက်ပျိုးခြင်းတို့ ပါဝင်သည်။
225,ပလတ်စတစ်အသုံးပြုမှု လျှော့ချရန် နည်းလမ်းများကို ဖော်ပြပါ။,ပလတ်စတစ်အသုံးပြုမှုလျှော့ချရန် ပြန်လည်အသုံးပြုနိုင်သော အိတ်များနှင့် ပုလင်းများ အသုံးပြုခြင်း၊ တစ်ခါသုံးပလတ်စတစ်ပစ္စည်းများ ရှောင်ကြဉ်ခြင်း၊ ဇီဝဖြိုခွဲနိုင်သော ပစ္စည်းများ အသုံးပြုခြင်း၊ ထုပ်ပိုးမှုလျှော့ချခြင်း နှင့် ပလတ်စတစ်စွန့်ပစ်ပစ္စည်းများ ပြန်လည်ပြုပြင်ထုတ်လုပ်ခြင်းတို့ကို ဆောင်ရွက်နိုင်သည်။
226,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးတွင် နိုင်ငံတကာပူးပေါင်းဆောင်ရွက်မှု၏ အရေးပါပုံကို ရှင်းပြပါ။,နိုင်ငံတကာပူးပေါင်းဆောင်ရွက်မှုသည် ကမ္ဘာလုံးဆိုင်ရာ ပတ်ဝန်းကျင်ထိန်းသိမ်းရေး သဘောတူညီချက်များ ချမှတ်ခြင်း၊ နည်းပညာနှင့် အတွေ့အကြုံများ ဖလှယ်ခြင်း၊ နယ်စပ်ဖြတ်ကျော် သဘာဝပတ်ဝန်းကျင်ပြဿနာများကို ပူးပေါင်းဖြေရှင်းခြင်း နှင့် ဖွံ့ဖြိုးဆဲနိုင်ငံများအား ပတ်ဝန်းကျင်ထိန်းသိမ်းရေးလုပ်ငန်းများတွင် ကူညီပံ့ပိုးပေးခြင်းတို့ဖြင့် အရေးပါသည်။
227,သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးဆိုင်ရာ အရေးကြီးသော နိုင်ငံတကာသဘောတူညီချက်များကို ဖော်ပြပါ။,အရေးကြီးသော နိုင်ငံတကာသဘောတူညီချက်များတွင် ကုလသမဂ္ဂရာသီဥတုပြောင်းလဲမှုဆိုင်ရာ ကွန်ဗင်းရှင်း၊ ဇီဝမျိုးစုံမျိုးကွဲဆိုင်ရာ ကွန်ဗင်းရှင်း၊ သဲကန္တာရဖြစ်ထွန်းမှုတိုက်ဖျက်ရေး ကွန်ဗင်းရှင်း၊ မွန်ထရီယယ်သဘောတူညီချက် နှင့် ပါရီသဘောတူညီချက်တို့ ပါဝင်သည်။
228,အပူလွန်ကဲသောရာသီဉတုကို ဘယ်လိုအဓိပ္ပါယ်ဖွင့်ဆိုမလဲ?,အပူလွန်ကဲသောရာသီဉတုဆိုတာ ပုံမှန်ထက်အပူချိန် အလွန်အမင်းမြင့်တက်နေတဲ့ ကာလရှည်အခြေအနေကို ဆိုလိုပါတယ်။
229,အပူလွန်ကဲသောရာသီဉတုရဲ့ အဓိကအကြောင်းရင်းတွေက ဘာတွေလဲ?,လူသားတွေကြောင့်ဖြစ်ပေါ်တဲ့ ဖန်လုံအိမ်ဓာတ်ငွေ့ထုတ်လွှတ်မှု မြင့်တက်လာခြင်းနဲ့ သစ်တောပြုန်းတီးမှုတို့က အဓိကအကြောင်းရင်းတွေ ဖြစ်ပါတယ်။
230,အပူလွန်ကဲသောရာသီဉတုကြောင့် ဖြစ်ပေါ်လာနိုင်တဲ့ နောက်ဆက်တွဲဆိုးကျိုးတွေကို ဖော်ပြပါ,ရေရှားပါးမှု၊ သီးနှံအထွက်နှုန်းကျဆင်းခြင်း၊ တောမီးလောင်မှု၊ ကျန်းမာရေးပြဿနာများ၊ ပင်လယ်ရေမျက်နှာပြင် မြင့်တက်လာခြင်းတို့ ဖြစ်ပေါ်လာနိုင်ပါတယ်။
231,အပူလွန်ကဲသောရာသီဉတုကို လျော့ပါးစေဖို့ ဘယ်လိုလုပ်ဆောင်နိုင်မလဲ?,ပြန်လည်ပြည့်ဖြိုးမြဲစွမ်းအင်သုံးစွဲခြင်း၊ စွမ်းအင်ချွေတာခြင်း၊ သစ်ပင်စိုက်ပျိုးခြင်း၊ ဖန်လုံအိမ်ဓာတ်ငွေ့ထုတ်လွှတ်မှု လျှော့ချခြင်းတို့ကို လုပ်ဆောင်နိုင်ပါတယ်။
232,အပူလွန်ကဲသောရာသီဉတုကြောင့် ဘယ်လိုသတ္တဝါမျိုးတွေ အန္တရာယ်ရှိနိုင်သလဲ?,ရေနေသတ္တဝါများ၊ ပိုလာဝက်ဝံများ၊ သန္တာကျောက်တန်းများ၊ ရေခဲတောင်နေ ပင်ဂွင်းငှက်များနှင့် အပူပိုင်းဒေသရှိ တိရစ္ဆာန်များ အန္တရာယ်ရှိနိုင်ပါတယ်။
233,အပူလွန်ကဲသောရာသီဉတုကြောင့် လူသားတွေရဲ့ ကျန်းမာရေးကို ဘယ်လိုထိခိုက်စေနိုင်သလဲ?,အပူဖျား၊ အပူရှပ်၊ နှလုံးရောဂါ၊ အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ပြဿနာများ၊ စိတ်ဖိစီးမှုနှင့် စိတ်ကျန်းမာရေးပြဿနာများ ဖြစ်ပွားနိုင်ပါတယ်။
234,အပူလွန်ကဲသောရာသီဉတုကြောင့် စိုက်ပျိုးရေးကဏ္ဍကို ဘယ်လိုသက်ရောက်မှုတွေရှိနိုင်သလဲ?,သီးနှံအထွက်နှုန်းကျဆင်းခြင်း၊ ရေရှားပါးမှု၊ ပိုးမွှားများ ပိုမိုပေါက်ပွားလာခြင်း၊ မြေဆီလွှာအရည်အသွေးကျဆင်းခြင်းတို့ ဖြစ်ပေါ်နိုင်ပါတယ်။
235,အပူလွန်ကဲသောရာသီဉတုကို တိုင်းတာဖို့ ဘယ်လို indicator တွေကို အသုံးပြုသလဲ?,အပူချိန်၊ စိုထိုင်းဆ၊ လေတိုက်နှုန်း၊ နေရောင်ခြည်ပမာဏ၊ မိုးရွာသွန်းမှုပုံစံ စတဲ့ indicator တွေကို အသုံးပြုပါတယ်။
236,အပူလွန်ကဲသောရာသီဉတုကြောင့် မြို့ပြဒေသတွေမှာ ဘယ်လိုပြဿနာတွေ ဖြစ်ပေါ်လာနိုင်သလဲ?,Urban heat island effect ပိုဆိုးလာခြင်း၊ လျှပ်စစ်ဓာတ်အားသုံးစွဲမှု မြင့်တက်ခြင်း၊ လေထုညစ်ညမ်းမှု ပိုဆိုးလာခြင်း၊ အခြေခံအဆောက်အအုံများ ပျက်စီးခြင်းတို့ ဖြစ်နိုင်ပါတယ်။
237,အပူလွန်ကဲသောရာသီဉတုကို ကိုင်တွယ်ဖြေရှင်းရာမှာ နိုင်ငံတကာပူးပေါင်းဆောင်ရွက်မှုက ဘယ်လောက်အရေးကြီးသလဲ?,နိုင်ငံတကာပူးပေါင်းဆောင်ရွက်မှုက အလွန်အရေးကြီးပါတယ်။ Paris Agreement လို သဘောတူညီချက်တွေဟာ ကမ္ဘာလုံးဆိုင်ရာ ရာသီဉတုပြောင်းလဲမှုကို တိုက်ဖျက်ဖို့ အထောက်အကူပြုပါတယ်။
238,အပူလွန်ကဲသောရာသီဉတုကို လိုက်လျောညီထွေဖြစ်အောင် နေထိုင်ဖို့ ဘယ်လိုနည်းလမ်းတွေရှိသလဲ?,အပူဒဏ်ခံနိုင်တဲ့ အဆောက်အအုံဒီဇိုင်းများ အသုံးပြုခြင်း၊ စိမ်းလန်းစိုပြည်တဲ့ နေရာများ တိုးချဲ့ခြင်း၊ ရေစီမံခန့်ခွဲမှုစနစ် ပိုကောင်းအောင်လုပ်ခြင်း၊ အပူဒဏ်ခံနိုင်တဲ့ သီးနှံမျိုးစိတ်များ စိုက်ပျိုးခြင်းတို့ လုပ်ဆောင်နိုင်ပါတယ်။
239,အပူလွန်ကဲသောရာသီဉတုနဲ့ ပတ်သက်ပြီး လူထုကို ဘယ်လိုပညာပေးမှုတွေ လုပ်ဆောင်သင့်သလဲ?,ရာသီဉတုပြောင်းလဲမှုအကြောင်း အသိပညာပေးခြင်း၊ စွမ်းအင်ချွေတာနည်းများ သင်ကြားပေးခြင်း၊ အပူဒဏ်ကာကွယ်ရေးနည်းလမ်းများ မျှဝေခြင်းတို့ လုပ်ဆောင်သင့်ပါတယ်။
240,အပူလွန်ကဲသောရာသီဉတုကြောင့် ရေရှားပါးမှုကို ဖြေရှင်းဖို့ ဘယ်လိုနည်းလမ်းတွေ ရှိသလဲ?,ရေသိုလှောင်မှုစနစ်များ တိုးမြှင့်ခြင်း၊ ရေပြန်လည်သုံးစွဲခြင်းနည်းပညာများ အသုံးပြုခြင်း၊ ရေခွေတာသုံးစွဲခြင်း၊ မိုးရေစုဆောင်းခြင်းတို့ လုပ်ဆောင်နိုင်ပါတယ်။
241,အပူလွန်ကဲသောရာသီဉတုကြောင့် ဖြစ်ပေါ်လာနိုင်တဲ့ စီးပွားရေးထိခိုက်မှုတွေက ဘာတွေလဲ?,စိုက်ပျိုးရေးထုတ်လုပ်မှု ကျဆင်းခြင်း၊ ခရီးသွားလုပ်ငန်း ထိခိုက်ခြင်း၊ လုပ်သားထုတ်လုပ်နိုင်စွမ်း ကျဆင်းခြင်း၊ စွမ်းအင်သုံးစွဲမှု မြင့်တက်ခြင်းတို့ ဖြစ်ပေါ်နိုင်ပါတယ်။
242,အပူလွန်ကဲသောရာသီဉတုကို လျော့ပါးစေဖို့ အစိုးရက ဘယ်လိုမူဝါဒတွေ ချမှတ်သင့်သလဲ?,ကာဗွန်ထုတ်လွှတ်မှုလျှော့ချရေး မူဝါဒများ၊ ပြန်လည်ပြည့်ဖြိုးမြဲစွမ်းအင်သုံးစွဲမှု မြှင့်တင်ရေး အစီအစဉ်များ၊ သစ်တောထိန်းသိမ်းရေး ဥပဒေများ၊ စွမ်းအင်ထိရောက်မှုရှိသော နည်းပညာများ အားပေးမြှင့်တင်ခြင်းတို့ လုပ်ဆောင်သင့်ပါတယ်။
243,အပူလွန်ကဲသောရာသီဉတုကို လေ့လာဖို့ ဘယ်လိုသုတေသနတွေ လုပ်ဆောင်နေကြသလဲ?,ရာသီဉတုပုံစံများ ခန့်မှန်းခြင်း၊ ဇီဝမျိုးကွဲများအပေါ် သက်ရောက်မှု လေ့လာခြင်း၊ အပူဒဏ်ခံနိုင်သောသီးနှံမျိုးစိတ်များ ဖော်ထုတ်ခြင်း၊ ကာဗွန်စုပ်ယူသိုလှောင်နိုင်သော နည်းပညာများ သုတေသနပြုလုပ်ခြင်းတို့ လုပ်ဆောင်နေကြပါတယ်။
244,Paris Climate Agreement ဆိုတာ ဘာလဲ?,Paris Climate Agreement ဆိုတာ ကမ္ဘာ့နိုင်ငံတွေ စုပေါင်းပြီး ရာသီဉတုပြောင်းလဲမှုကို တိုက်ဖျက်ဖို့ ချုပ်ဆိုထားတဲ့ နိုင်ငံတကာသဘောတူညီချက် ဖြစ်ပါတယ်။
245,Paris Climate Agreement ကို ဘယ်အချိန်က စတင်ချုပ်ဆိုခဲ့တာလဲ?,၂၀၁၅ ခုနှစ် ဒီဇင်ဘာလမှာ ပြင်သစ်နိုင်ငံ ပါရီမြို့တွင် ကျင်းပတဲ့ COP21 ညီလာခံမှာ စတင်ချုပ်ဆိုခဲ့ပါတယ်။
246,Paris Climate Agreement ရဲ့ အဓိကရည်ရွယ်ချက်က ဘာလဲ?,ကမ္ဘာ့ပျမ်းမျှအပူချိန်မြင့်တက်မှုကို စက်မှုခေတ်မတိုင်မီကာလထက် ၂ ဒီဂရီစင်တီဂရိတ်အောက် (အကောင်းဆုံးအနေနဲ့ ၁.၅ ဒီဂရီစင်တီဂရိတ်အထိ) လျှော့ချဖို့ ဖြစ်ပါတယ်။
